Title,Abstract,Conclusion,Study_Area
A modeling and rendering method for snow by using metaballs,"Abstract The display of natural scenes such as mountains, trees, the earth as viewed from space, the sea, and waves have been attempted. Here a method to realistically display snow is proposed. In order to achieve this, two important elements have to be considered, namely the shape and shading model of snow, based on the physical phenomenon. In this paper, a method for displaying snow fallen onto objects, including curved surfaces and snow scattered by objects, such as skis, is proposed. Snow should be treated as particles with a density distribution since it consists of water particles, ice particles, and air molecules. In order to express the material property of snow, the phase functions of the particles must be taken into account, and it is well-known that the color of snow is white because of the multiple scattering of light. This paper describes a calculation method for light scattering due to snow particles taking into account both multiple scattering and sky light, and the modeling of snow. Note: snow, multiple scattering, Mie scattering, metaball, volume rendering","We have proposed an algorithm for a physical based image synthesis of clouds and snow. As shown in the examples, the proposed method gives us photo-realistic images taking into account anisotropic multiple scattering and sky light. The advantages of the proposed method are as follows:",[]
A multilayer physically based snowpack model simulating direct and indirect radiative impacts of lightabsorbing impurities in snow,"Abstract. Light-absorbing impurities (LAIs) decrease snow albedo, increasing the amount of solar energy absorbed by the snowpack. Its most intuitive and direct impact is to ac- celerate snowmelt. Enhanced energy absorption in snow also modifies snow metamorphism, which can indirectly drive further variations of snow albedo in the near-infrared part of the solar spectrum because of the evolution of the near- surface snow microstructure. New capabilities have been im- plemented in the detailed snowpack model SURFEX/ISBA- Crocus (referred to as Crocus) to account for impurities?€? de- position and evolution within the snowpack and their direct and indirect impacts. Once deposited, the model computes impurities?€? mass evolution until snow melts out, accounting for scavenging by meltwater. Taking advantage of the recent inclusion of the spectral radiative transfer model TARTES (Two-stream Analytical Radiative TransfEr in Snow model) in Crocus, the model explicitly represents the radiative im- pacts of light-absorbing impurities in snow. The model was evaluated at the Col de Porte experimental site (French Alps) during the 2013?€?2014 snow season against in situ standard snow measurements and spectral albedo measurements. In situ meteorological measurements were used to drive the snowpack model, except for aerosol deposition fluxes. Black carbon (BC) and dust deposition fluxes used to drive the model were extracted from simulations of the atmospheric model ALADIN-Climate. The model simulates snowpack evolution reasonably, providing similar performances to our reference Crocus version in terms of snow depth, snow water equivalent (SWE), near-surface specific surface area (SSA) and shortwave albedo. Since the reference empirical","In this study, new developments aiming at modeling the deposition and the evolution of light-absorbing impurities within the snowpack are introduced in the detailed snow- pack model Crocus. We implemented the dry and wet de- position of a user-defined number of LAI species. The de- position fluxes can either be extracted from an atmospheric model as in this study or forced by user-prescribed deposition rates as in Charrois et al. (2016). The fate of the aerosols de- posited in the snow is computed by mass-conservation evo- lution laws for impurity mass content as snowpack evolves. Finally, we use the radiative transfer model TARTES embed- ded into Crocus to explicitly account for the direct and indi- rect radiative impact of the LAIs evolving in the snowpack.","['Col de Porte', 'de Porte', 'Charrois']"
A multiscale perspective of water pulses in dryland ecosystems climatology and ecohydrology of the western USA,"Abstract In dryland ecosystems, the timing and magni- tude of precipitation pulses drive many key ecological processes, notably soil water availability for plants and soil microbiota. Plant available water has frequently been viewed simply as incoming precipitation, yet processes at larger scales drive precipitation pulses, and the subsequent transformation of precipitation pulses to plant available water are complex. We provide an overview of the factors that influence the spatial and temporal availability of water to plants and soil biota using examples from western USA drylands. Large spatial- and temporal-scale drivers of regional precipitation patterns include the position of the jet streams and frontal boundaries, the North American Monsoon, El Ni??o Southern Oscillation events, and the Pacific Decadal Oscillation. Topography and orography modify the patterns set up by the larger-scale drivers, resulting in regional patterns (102?€?106 km2) of precipita- tion magnitude, timing, and variation. Together, the large- scale and regional drivers impose important pulsed patterns on long-term precipitation trends at landscape scales, in which most site precipitation is received as small",,"['USA', 'Pacific']"
A multitemporal method for cloud detection applied to FORMOSAT2 VEN??S LANDSAT and SENTINEL2 images,,A Multi-Temporal Cloud Detection method (MTCD) has been developed in the framework of the,[]
A new operational model for satellitederived irradiances description and validation,We present a new simple model capable of exploiting geostationary satellite visible images for,,[]
A new snow cover fraction parametrization for the ECHAM4 GCM,,,[]
A new snow parameterization for the MeteoFrance climate model, Abstract. Both observational studies and numerical ex-,,[]
A note on dust wave excitation in a plasma with warm dust Comparison with experiment,,,[]
A numerical model to simulate snowcover stratigraphy for operational avalanche forecasting,,,[]
A onedimensional model of the evolution of snowcover characteristics,,,[]
A photohabitable zone in the martian snowpack A laboratory and radiativetransfer study of dusty waterice snow,,,[]
A physical model to determine snowfall over land by microwave radiometry,"Abstract?€?Falling snow is an important component of global precipitation in extratropical regions. This paper describes the methodology and results of physically based retrievals of snow falling over land surfaces. Because microwave brightness tem- peratures emitted by snow-covered surfaces are highly variable, precipitating snow above such surfaces is difficult to observe using window channels that occur at low frequencies ( 100 GHz). Furthermore, at frequencies 37 GHz, sensitivity to liquid hydrometeors is dominant. These problems are mitigated at high frequencies ( 100 GHz) where water vapor screens the surface emission, and sensitivity to frozen hydrometeors is signifi- cant. However, the scattering effect of snowfall in the atmosphere at those higher frequencies is also impacted by water vapor in the upper atmosphere. The theory of scattering by randomly oriented dry snow particles at high microwave frequencies appears to be better described by regarding snow as a concatenation of ?€?equivalent?€? ice spheres rather than as a sphere with the effective dielectric constant of an air?€?ice mixture. An equivalent sphere snow scattering model was validated against high-frequency attenuation measurements. Satellite-based high-frequency obser- vations from an Advanced Microwave Sounding Unit (AMSU-B) instrument during the March 5?€?6, 2001 New England blizzard were used to retrieve snowfall over land. Vertical distributions of snow, temperature, and relative humidity profiles were derived from the Mesoscale Model (MM5) cloud model. Those data were applied and modified in a radiative transfer model that derived brightness temperatures consistent with the AMSU-B observa- tions. The retrieved snowfall distribution was validated with radar reflectivity measurements obtained from a ground-based radar network.",,['New England']
A prediction model for snowmelt snow surface temperature and freezing depth using a heat balance method,,,[]
A preliminary study of heavy metal contamination in Yangtze River intertidal zone due to urbanization,"Three short sediment cores (<20 cm) were collected in the high, middle and low tidal flats in the Yangtze River Estuary near the"," 	A preliminary study of heavy metal contamination in Yangtze River intertidal zone due to urbanization 	Introduction 	Method 	Results and discussion 	Conclusion 	Acknowledgments 	References","['River Estuary', 'Yangtze River', 'Yangtze River Estuary']"
A prototype AMSRE global snow area and snow depth algorithm,"Abstract?€?A methodologically simple approach to estimate snow depth from spaceborne microwave instruments is described. The scattering signal observed in multifrequency passive mi- crowave data is used to detect snow cover. Wet snow, frozen ground, precipitation, and other anomalous scattering signals are screened using established methods. The results from two different approaches (a simple time and continentwide static approach and a space and time dynamic approach) to estimating snow depth were compared. The static approach, based on radiative transfer calculations, assumes a temporally constant grain size and density. The dynamic approach assumes that snowpack properties are spatially and temporally dynamic and requires two simple empirical models of density and snowpack grain radius evolution, plus a dense media radiative transfer model based on the quasicrystalline approximation and sticky particle theory. To test the approaches, a four-year record of daily snow depth measurements at 71 meteorological stations plus passive microwave data from the Special Sensor Microwave Imager, land cover data and a digital elevation model were used. In addition, testing was performed for a global dataset of over 1000 World Me- teorological Organization meteorological stations recording snow depth during the 2000?€?2001 winter season. When compared with the snow depth data, the new algorithm had an average error of 23 cm for the one-year dataset and 21 cm for the four-year dataset (131% and 94% relative error, respectively). More importantly, the dynamic algorithm tended to underestimate the snow depth less than the static algorithm. This approach will be developed further and implemented for use with the Advanced Microwave Scanning Radiometer?€?Earth Observing System aboard Aqua.",,[]
A satellite view of aerosols in the climate system,,,[]
A sensitivity study of daytime net radiation during snowmelt to forest canopy and atmospheric conditions,,"This study examined the sensitivity of subcanopy net radiation components during snowmelt to canopy char- acteristics with reference to atmospheric conditions. A simple model was derived from meteorological obser- vations in a spruce forest in the Yukon Territory, Canada (608N), and in a pine forest in Colorado (408N). As the snow surface beneath a canopy is not greatly cooled during the night, the daily sum of the positive values of the net radiation was used as an index of the snowmelt rate. The dependence of subcanopy net radiation over snow to canopy characteristics was described in terms of mean shortwave transmissivity and sky-view factor.","['Colorado', 'Canada']"
A simple formula to estimate settling velocity of natural sediments,"Abstract: A simple formula to calculate the settling velocity of natural sediment particles for grain sizes between 0.063 and 1 mm is presented. The formula has been derived from the previous work of Dietrich, and it predicts the dimensionless settling velocity W",,[]
A simple model to estimate atmospheric concentrations of aerosol chemical species based on snow core chemistry at Summit Greenland, Abstract A simple model is presented to estimate atmospheric, In this paper a model is developed to estimate atmospheric,['Summit Greenland']
A simple snowpackcloud reflectance and transmittance model from microwave to ultraviolet the icelamella pack,,,[]
A simple universal equation for grain settling velocity,,,[]
A simplified reaction mechanism for soot formation in nonpremixed flames,,,[]
A simulation of the global distribution and radiative forcing of soil dust aerosols at the Last Glacial Maximum,"Abstract. In this study an integrated simulation of the global distribution and the radiative forcing of soil dust aerosols at the Last Glacial Maximum (LGM) is performed with an aerosol climate model, SPRINTARS. It is compared with another simulation for the present climate condition. The global total emission flux of soil dust aerosols at the LGM is simulated to be about 2.4 times as large as that in the present climate, and the simulated deposition flux is in general agree- ment with estimations from ice core and marine sediment samplings though it appears to be underestimated over the Antarctic. The calculated direct radiative forcings of soil dust aerosols at the LGM is close to zero at the tropopause and ???0.4 W m???2 at the surface. These radiative forcings are about twice as large as those in the present climate. SPRINT- ARS also includes the microphysical parameterizations of the cloud-aerosol interaction both for liquid water and ice crystals, which affect the radiation budget. The positive ra- diative forcing from the indirect effect of soil dust aerosols is mainly caused by their properties to act as ice nuclei. This effect is simulated to be smaller (???0.9 W m???2) at the LGM than in the present. It is suggested that atmospheric dust might contribute to the cold climate during the glacial pe- riods both through the direct and indirect effects, relative to the interglacial periods.",,[]
A snow algal community on Akkem glacier in the Russian Altai mountains,,,['Altai mountains']
A snowtransport model for complex terrain,,,[]
A spatially distributed energy balance snowmelt model for application in mountain basins,"Abstract: Snowmelt is the principal source for soil moisture, ground-water re-charge, and stream-??ow in mountainous regions of the western US, Canada, and other similar regions of the world. Information on the timing, magnitude, and contributing area of melt under variable or changing climate conditions is required for successful water and resource management. A coupled energy and mass-balance model ISNOBAL is used to",,[]
A spirit of home and exile a reevaluation of Breyten Breytenbachs Memory of snow and of dust, A ?€?spirit?€? of home and exile: a re-evaluation of Breyten, It has been argued here that in a world informed by border crossings,[]
A synthesis of atmospheric mercury depletion event chemistry in the atmosphere and snow,"Abstract. It was discovered in 1995 that, during the spring time, unexpectedly low concentrations of gaseous elemen- tal mercury (GEM) occurred in the Arctic air. This was surprising for a pollutant known to have a long residence time in the atmosphere; however conditions appeared to exist in the Arctic that promoted this depletion of mercury (Hg). This phenomenon is termed atmospheric mercury depletion events (AMDEs) and its discovery has revolutionized our understanding of the cycling of Hg in Polar Regions while stimulating a significant amount of research to understand its impact to this fragile ecosystem. Shortly after the discov- ery was made in Canada, AMDEs were confirmed to occur throughout the Arctic, sub-Artic and Antarctic coasts. It is now known that, through a series of photochemically ini- tiated reactions involving halogens, GEM is converted to a","During the last decade a great leap in our understanding of Hg transformation in the Arctic and the Antarctic atmo- sphere has occurred, especially in measurement, laboratory and modeling studies. The goal of this review article is to provide a comprehensive assessment of the state of the Hg science in Polar Regions since the discovery of AMDEs. Taken in total, these studies frame our current understand- ing of the roles that atmospheric chemistry, Hg speciation, Hg deposition, snow and ice processes and photochemical reactions play in driving the fascinating Hg cycling in this environment. Prioritizing future research directions is diffi- cult because of the interdisciplinary nature of Polar Hg stud- ies that incorporate work from atmospheric chemists, sea ice and snow chemists, modelers, laboratory experimental- ists and ecosystem biogeochemists. Here we will attempt to summarize where the current state of knowledge lies with an eye to the future research efforts and results that are needed to move the state of knowledge further. We will first start with what is generally considered well known and then will transi- tion toward the major gaps in our knowledge base. As earlier stated, the changing climate and emissions sources over the next 20 years will dramatically affect the source, deposition and long term fate of Hg deposited to Polar Regions. The effects of these changes on the AMDE processes that deposit Hg to the Arctic and Antarctic are, as of yet, unknown.","['Arctic', 'Antarctic']"
A transitioning Arctic surface energy budget the impacts of solar zenith angle surface albedo and cloud radiative forcing,Abstract Snow surface and sea-ice energy budgets were measured near 87.5N dur-,,[]
A WRF simulation of the impact of 3D radiative transfer on surface hydrology over the Rocky Mountains and Sierra Nevada,"Abstract. We investigate 3-D mountains/snow effects on so- lar flux distributions and their impact on surface hydrology over the western United States, specifically the Rocky Moun- tains and Sierra Nevada. The Weather Research and Forecast- ing (WRF) model, applied at a 30 km grid resolution, is used in conjunction with a 3-D radiative transfer parameterization covering a time period from 1 November 2007 to 31 May 2008, during which abundant snowfall occurred. A compar- ison of the 3-D WRF simulation with the observed snow water equivalent (SWE) and precipitation from Snowpack Telemetry (SNOTEL) sites shows reasonable agreement in terms of spatial patterns and daily and seasonal variability, although the simulation generally has a positive precipita- tion bias. We show that 3-D mountain features have a pro- found impact on the diurnal and monthly variation of surface radiative and heat fluxes, and on the consequent elevation- dependence of snowmelt and precipitation distributions. In particular, during the winter months, large deviations (3-D- PP, in which PP denotes the plane-parallel approach) of the monthly mean surface solar flux are found in the morning and afternoon hours due to shading effects for elevations below 2.5 km. During spring, positive deviations shift to the earlier morning. Over mountaintops higher than 3 km, positive devi- ations are found throughout the day, with the largest values of 40?€?60 W m???2 occurring at noon during the snowmelt season of April to May. The monthly SWE deviations averaged over the entire domain show an increase in lower elevations due to reduced snowmelt, which leads to a reduction in cumula- tive runoff. Over higher elevation areas, positive SWE devia- tions are found because of increased solar radiation available",,"['Rocky Mountains', 'Sierra Nevada', 'Sierra Nevada.']"
Absorbing aerosols contribution of biomass burning and implications for radiative forcing,"Abstract. Absorbing aerosols supplements the global warm- ing caused by greenhouse gases. However, unlike green- house gases, the effect of absorbing aerosol on climate is not known with certainty owing to paucity of data. Also, uncer- tainty exists in quantifying the contributing factors whether it is biomass or fossil fuel burning. Based on the obser- vations of absorption coefficient at seven wavelengths and aerosol optical depth (AOD) at five wavelengths carried out at Gadanki (13.5??? N, 79.2??? E), a remote village in peninsular India, from April to November 2008, as part of the ?€?Study of Atmospheric Forcing and Responses (SAFAR)?€? pilot cam- paign we discuss seasonal variation of black carbon (BC) concentration and aerosol optical depth. Also, using spectral information we estimate the fraction of fossil-fuel and non- fossil fuel contributions to absorption coefficient and contri- butions of soot (Black Carbon), non-soot fine mode aerosols and coarse mode aerosols to AOD.",,['Gadanki']
Absorption of light by soot particles determination of the absorption coefficient by means of aethalometers,"During a soot aerosol measurement campaign the response of two di*erent aethalometers (AE10 with white light and AE30 with multiwavelength capability) to several types of soot was investigated. Diesel soot, spark-generated carbon particles, and mixtures of these soot particles with ammonium sulfate and oxidation products of ???-pinene were used in this evaluation. The determination of the particles light absorption coe%cient (babs) with the AE10 aethalometer is a di%cult task because of an ill-de7ned spectral sensitivity of this instrument. Provided that the proper numerical corrections are performed, the AE30 instrument allows for the measurement of babs over a wide spectral range (??? = 450?€?950 nm). During all experiments it was found that with increasing 7lter load the optical path in the aethalometer 7lter decreased. As a result, an increased underestimation of the measured aethalometer signals (babs or black carbon mass concentrations) occurs with increasing 7lter loads. This e*ect, which is attributed to a ?€?shadowing?€? of the particles in the 7ber matrix, is very pronounced for ?€?pure?€? soot particles while almost negligible for aged atmospheric aerosols. An empirical correction for this bias is presented and requires information on the light scattering behavior (i.e. light scattering coe%cient) of the sampled particles. Without this additional information, the applicability of the instruments is limited. Comparison with a reference method shows that multiple scattering in the nearly unloaded 7ber 7lter is responsible for enhanced light absorption by a factor of about 2.14. ? 2003 Elsevier Ltd. All rights reserved.",,[]
Abundant proteincontaining particles in the sea,,,[]
Accelerated snow melt in the Russian Caucasus mountains after the Saharan dust outbreak in March 2018,"Light absorbing particles, such as mineral dust, are a potent climate forcing agent. Many19",We have shown that S2 imagery can be used with a simple retrieval method to mon-445,[]
Accumulation of aerosols over the IndoGangetic plains and southern slopes of the Himalayas distribution properties and radiative effects during the 2009 pre ,"Abstract. We examine the distribution of aerosols and asso- ciated optical/radiative properties in the Gangetic-Himalayan region from simultaneous radiometric measurements over the Indo-Gangetic Plains (IGP) and the foothill/southern slopes of the Himalayas during the 2009 pre-monsoon sea- son. Enhanced dust transport extending from the South- west Asian arid regions into the IGP, results in seasonal mean (April?€?June) aerosol optical depths of over 0.6 ?€? high- est over Southern Asia. The influence of dust loading is greater over the Western IGP as suggested by pronounced coarse mode peak in aerosol size distribution and spectral single scattering albedo (SSA). Transported dust in the IGP, driven by prevailing westerly airmass, is found to be more absorbing (SSA550 nm <0.9) than the near-desert region in Northwestern (NW) India suggesting mixing with carbona- ceous aerosols in the IGP. On the contrary, significantly reduced dust transport is observed over eastern IGP and foothill/elevated Himalayan slopes in Nepal where strongly absorbing haze is prevalent, as indicated by lower SSA (0.85?€?0.9 at 440?€?1020 nm), suggesting presence of more ab- sorbing aerosols compared to IGP. Additionally, our observa- tions show a distinct diurnal pattern of aerosols with charac-","Recent climate model-based studies have underscored the role of absorbing aerosols over South Asia in impacting the evolution and long-term variability of the summer monsoon rainfall (Ramanathan et al., 2005; Lau et al., 2006; Meehl et al., 2008) as well as cryospheric reservoirs of the Himalayas- Tibetan Plateau (Lau et al., 2010; Qian et al., 2011). This pa- per presents results from the RAJO-MEGHA field campaign related to aerosol and broadband surface flux measurements","['Indo-Gangetic Plains', 'Gangetic-Himalayan', 'India', 'South Asia', 'Nepal', 'Himalayas']"
Accumulative roll bonding of a Mgbased AZ61 alloy, This work aims to investigate whether accumulative roll bonding (ARB) is an effective grain,,[]
Accuracy assessment of the MODIS snow products,"A suite of Moderate-Resolution Imaging Spectroradiometer (MODIS) snow products at various spatial and temporal resolutions from the Terra satellite has been available since February 2000. Standard products include daily and 8-day composite 500 m resolution swath and tile products (which include fractional snow cover (FSC) and snow albedo), and 0??05?? resolution products on a climate-modelling grid (CMG) (which also include FSC). These snow products (from Collection 4 (C4) reprocessing) are mature and most have been validated to varying degrees and are available to order through the National Snow and Ice Data Center. The overall absolute accuracy of the well-studied 500 m resolution swath (MOD10 L2) and daily tile (MOD10A1) products is ??93%, but varies by land-cover type and snow condition. The most frequent errors are due to snow/cloud discrimination problems, however, improvements in the MODIS cloud mask, an input product, have occurred in ?€?Collection 5?€? reprocessing. Detection of very thin snow (<1 cm thick) can also be problematic. Validation of MOD10 L2 and MOD10A1 applies to all higher-level products because all the higher-level products are all created from these products. The composited products may have larger errors due, in part, to errors propagated from daily products. Recently, new products have been developed. A fractional snow cover algorithm for the 500 m resolution products was developed, and is part of the C5 daily swath and tile products; a monthly CMG snow product at 0??05?? resolution and a daily 0??25?? resolution CMG snow product are also now available. Similar, but not identical products are also produced from the MODIS on the Aqua satellite, launched in May 2002, but the accuracy of those products has not yet been assessed in detail. Published in 2007 by John Wiley & Sons, Ltd.",,['Terra']
Accurate monitoring of terrestrial aerosols and total solar irradiance introducing the Glory Mission,,,[]
